8767 "01.01.2018 11:00";"4.9";"732.1";"756.0";"0.3";"83";"Wind blowing from the south-southeast";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"22.0";"2.3";"";"";"";"";"";"";
8766 "01.01.2018 12:00";"5.7";"732.1";"755.8";"-0.1";"80";"Wind blowing from the south";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"23.0";"2.5";"";"";"";"";"";"";
8765 "01.01.2018 13:00";"6.1";"732.2";"756.0";"0.0";"80";"Wind blowing from the south";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"";"";"22.0";"2.9";"No precipitation";"6";"";"";"";"";
8764 "01.01.2018 14:00";"5.7";"732.2";"756.0";"0.1";"83";"Wind blowing from the south-southeast";"2";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"18.0";"3.0";"";"";"";"";"";"";
8763 "01.01.2018 15:00";"4.9";"731.9";"755.8";"-0.2";"89";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"8.0";"3.2";"";"";"";"";"";"";
8762 "01.01.2018 16:00";"4.6";"731.9";"755.8";"-0.3";"95";"Wind blowing from the south-west";"2";"";"";"100%.";"Rain shower(s), slight. ";"Shower(s).";"Rain.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"6.0";"3.9";"";"";"";"";"";"";
8761 "01.01.2018 17:00";"5.1";"731.9";"755.8";"-0.3";"93";"Wind blowing from the west-southwest";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Shower(s).";"Shower(s).";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"5.0";"4.1";"";"";"";"";"";"";
8760 "01.01.2018 18:00";"5.0";"731.8";"755.7";"-0.1";"91";"Wind blowing from the south-southwest";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"6.0";"3.7";"";"";"";"";"";"";
8759 "01.01.2018 19:00";"4.1";"732.0";"755.9";"0.1";"92";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"1.6";"6.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"";"6.0";"2.9";"0.4";"12";"";"";"";"";
8758 "01.01.2018 20:00";"3.3";"731.9";"755.9";"0.0";"95";"Wind blowing from the east-southeast";"1";"";"";"90  or more, but not 100%";"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"0.4";"2.6";"";"";"";"";"";"";
8757 "01.01.2018 21:00";"2.7";"731.9";"756.0";"0.1";"100";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.6";"2.7";"";"";"";"";"";"";
8756 "01.01.2018 22:00";"1.4";"732.1";"756.3";"0.1";"100";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"";"";"0.3";"1.4";"";"";"";"";"";"";
8755 "01.01.2018 23:00";"1.4";"732.2";"756.4";"0.3";"100";"Wind blowing from the east-northeast";"1";"";"";"90  or more, but not 100%";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1500-2000";"";"";"0.8";"1.4";"";"";"";"";"";"";
8754 "02.01.2018 00:00";"1.0";"732.4";"756.7";"0.5";"100";"Wind blowing from the east-northeast";"2";"";"";"90  or more, but not 100%";"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"";"";"0.1";"1.0";"";"";"";"";"";"";
8753 "02.01.2018 01:00";"0.6";"732.4";"756.6";"0.3";"100";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.2";"0.6";"No precipitation";"6";"";"";"";"";
8752 "02.01.2018 02:00";"-1.4";"732.4";"756.9";"0.2";"97";"Calm, no wind";"0";"";"";"no clouds";"Fog, depositing rime, sky visible. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.1";"-1.8";"";"";"";"";"";"";
8751 "02.01.2018 03:00";"-1.3";"732.2";"756.7";"-0.2";"98";"Wind blowing from the east-northeast";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog, depositing rime, sky visible. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.1";"-1.6";"";"";"";"";"";"";
8750 "02.01.2018 04:00";"-1.9";"732.1";"756.6";"-0.3";"98";"Wind blowing from the north-east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog, depositing rime, sky invisible. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.1";"-2.2";"";"";"";"";"";"";
8749 "02.01.2018 05:00";"-2.8";"731.9";"756.4";"-0.5";"98";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";"Fog, depositing rime, sky visible. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"0.1";"-3.1";"";"";"";"";"";"";
8748 "02.01.2018 06:00";"-2.7";"732.1";"756.6";"-0.1";"98";"Wind blowing from the north-northeast";"1";"";"";"90  or more, but not 100%";"Fog, depositing rime, sky visible. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"0.1";"-3.0";"";"";"";"";"";"";
